30	1324
30	1160
30	832
175	3055
30	3275
80	2679
592	3644
294	3369
30	1161
30	1084
185	3074
216	3140
30	864
30	2290
30	797
30	901
185	2976
806	3912
267	3398
30	2029
30	1266
30	2433
30	1015
30	2454
30	1384
734	3806
30	2067
30	2463
30	3243
182	3042
112	2768
30	2192
30	2242
30	1562
30	1206
30	1300
30	3280
30	1794
184	3199
929	3943
30	1662
915	3968
592	3778
30	2150
30	1060
320	3392
616	3743
30	2397
30	1314
611	3655
30	1478
207	3218
30	3322
30	3319
30	2328
667	3632
30	1665
608	3788
30	1009
30	2755
30	1171
89	3234
30	1741
89	3227
30	1600
30	1120
30	786
30	1108
30	899
30	1146
155	3410
30	2206
30	1116
30	1101
178	2999
745	3809
196	3149
30	1083
30	3323
11	3679
78	2681
250	3523
30	2409
71	3429
89	3236
30	1350
30	1070
8	2485
30	1820
267	3400
184	3052
30	2254
30	847
665	3622
30	2310
30	2148
89	3235
30	1789
185	3191
183	2965
30	1364
30	2266
30	995
83	2623
181	3035
30	1416
801	3857
30	2019
560	3535
30	3335
185	3081
30	2421
178	2920
748	3815
30	1026
30	2761
30	1606
30	1915
222	3210
181	2947
30	823
30	1264
30	3242
30	2390
8	3124
30	1280
175	3054
30	1488
615	3761
30	2300
30	1757
30	974
704	3721
30	1100
30	2452
30	3301
30	2444
694	3797
30	1897
30	1582
30	1065
30	2210
30	1408
183	2904
30	1079
30	1783
5	2520
81	2709
30	816
193	2953
30	3282
30	1129
224	3120
30	914
30	1021
155	3239
30	3300
30	958
30	1320
182	3046
712	3922
30	861
906	3929
763	3832
30	1999
971	3973
122	2783
30	1118
30	977
670	3633
178	3154
30	952
183	3009
30	2360
30	923
814	3865
30	723
30	1372
184	2930
50	2515
179	2962
30	1306
30	1346
30	1180
117	2775
30	748
30	1049
30	1274
30	1729
510	3595
307	3477
204	3209
30	2023
30	1542
201	3162
895	3916
223	3047
30	1131
30	2288
30	1296
30	1000
30	2270
30	1139
30	1458
30	1717
30	2061
30	1528
615	3787
560	3530
30	1164
205	3200
182	3044
216	3131
30	1981
30	1374
30	2373
30	729
30	2438
30	1045
156	2877
30	1963
366	3880
30	1252
30	2230
30	2458
59	2573
30	1800
183	3008
30	892
30	804
30	2407
829	3877
975	3976
30	2103
30	1091
30	1633
88	2682
30	803
30	739
59	2598
175	2952
30	1102
30	1978
30	1122
30	2191
30	1022
30	1832
734	3828
30	941
213	3109
222	3389
30	701
950	3959
678	3670
30	987
176	3164
30	2174
30	1733
115	2781
513	3478
30	1018
528	3498
201	3198
233	3466
155	3683
30	928
30	1812
30	2384
30	2274
185	2978
185	2979
30	1242
30	1486
30	863
30	1806
184	3053
201	3183
185	3082
533	3500
528	3497
891	3913
30	896
30	822
182	3039
30	2362
30	1051
183	3014
155	3491
666	3618
30	2124
30	1017
30	3249
30	1885
30	2326
30	1089
30	1029
30	1136
217	3022
184	2934
30	1761
8	3122
155	3222
30	940
30	697
30	1057
30	1492
30	3004
30	1190
602	3707
30	3292
831	3891
30	3253
164	2882
30	2146
184	3126
30	1937
30	1130
30	988
62	2593
398	3886
30	2035
30	1240
530	3525
30	1438
205	3211
223	3061
30	811
120	2805
207	3099
202	3017
610	3656
30	1564
968	3972
30	876
601	3763
178	2944
11	768
30	1418
155	2880
30	2344
30	2069
328	3432
201	3196
798	3956
30	2262
487	3464
30	2047
30	1721
623	3661
30	1432
30	1040
178	2945
30	1995
30	2445
30	2354
179	2996
530	3503
30	1859
30	1426
30	1244
30	1624
30	1951
30	2105
212	3029
892	3914
30	2423
30	699
30	2073
30	1005
30	3252
30	2260
233	3470
30	1322
30	1588
30	1891
274	3363
30	2204
30	1648
30	794
30	3324
30	2278
636	3650
183	3012
60	2672
30	1234
30	715
181	2950
30	769
30	840
30	713
30	932
30	1683
30	2065
30	3250
184	3089
30	1634
30	3291
30	2282
183	2968
30	2085
31	3264
30	968
8	2487
467	3450
438	3575
481	3473
185	3075
30	1176
30	788
644	3664
30	742
526	3642
610	3674
30	3329
30	1504
674	3643
178	2921
30	1669
31	2608
30	2013
207	3174
618	3652
5	2510
30	1098
328	3492
30	1163
30	1440
30	1635
44	2499
30	1004
30	1032
30	849
62	2559
30	764
30	2252
30	1165
31	3547
30	1905
30	1846
628	3651
30	2015
681	3676
195	3212
30	1113
30	2383
30	1685
30	1196
30	814
30	1012
614	3737
30	890
30	3298
30	975
30	1179
30	1044
30	1121
285	3353
30	1272
114	2788
554	3528
205	3114
165	2883
30	906
30	780
263	3510
30	1731
30	981
30	945
625	3732
30	1643
30	1155
30	2464
30	2320
30	1618
30	1508
30	1654
725	3850
30	2434
30	766
174	2894
915	3934
694	3803
30	3315
30	1544
160	2908
294	3371
30	2387
30	1474
30	1751
30	1170
213	3108
30	1039
205	3187
30	1035
30	1494
639	3602
222	3775
30	1566
30	1675
438	3480
174	3048
30	2041
30	1030
30	917
30	711
30	1939
30	1173
30	3419
418	3425
30	1145
951	3963
117	2774
30	963
38	2491
412	3430
30	1027
5	3441
30	757
30	907
294	3373
30	1159
182	3043
605	3774
667	3629
60	2656
179	2971
267	3399
30	953
30	1671
30	1534
30	962
30	1434
30	1661
30	1785
30	2352
30	3692
30	1088
30	772
699	3751
214	3169
593	3579
30	746
205	3113
30	2043
30	1650
30	1857
30	1218
30	1444
206	3203
89	3233
30	2431
30	1464
30	1010
30	1861
30	2346
896	3919
30	2430
30	1016
30	2071
126	2794
30	1436
30	1360
30	3331
30	916
30	1192
30	911
155	3451
30	1689
116	2793
213	3216
30	2425
30	884
30	2377
30	1849
30	1284
30	3279
30	3415
601	3762
30	2109
30	1105
30	3257
725	3845
30	2399
607	3792
61	2565
269	3267
193	3085
30	2448
30	1707
30	910
30	2765
179	2956
214	3142
175	3125
233	3423
601	3647
30	2366
30	957
216	3168
30	1162
30	996
487	3465
30	2082
897	3923
30	3274
30	733
698	3718
30	2130
535	3514
30	3283
657	3628
268	3358
30	825
30	2185
30	1396
263	3512
30	3307
30	765
196	3190
179	2997
30	1167
30	1042
124	2790
743	3816
58	2648
30	3320
30	2162
30	1614
30	1512
30	1092
30	1174
71	3556
60	3390
30	2324
30	1490
30	836
